filing_number,time_filed,form_type,skeda_lines,skedb_lines,skede_lines,other_lines,total_lines
962970,10/20 05:46 PM,F6N,1,0,0,0,1
962969,10/20 05:46 PM,F3XN,0,0,0,0,0
962968,10/20 05:46 PM,F6N,1,0,0,0,1
962967,10/20 05:46 PM,F3XN,0,1,0,0,1
962966,10/20 05:46 PM,F3XN,11,62,0,0,73
962965,10/20 05:45 PM,F3XN,86,0,0,0,86
962964,10/20 05:45 PM,F6N,1,0,0,0,1
962963,10/20 05:45 PM,F3XN,10,3,0,1,14
962962,10/20 05:45 PM,F3XN,1,1,0,0,2
962961,10/20 05:45 PM,F99,0,0,0,0,0
962960,10/20 05:44 PM,F3XN,0,0,0,0,0
962959,10/20 05:44 PM,F6N,16,0,0,0,16
962958,10/20 05:43 PM,F3XN,0,4,0,0,4
962957,10/20 05:43 PM,F6N,1,0,0,0,1
962956,10/20 05:43 PM,F6N,3,0,0,0,3
962955,10/20 05:42 PM,F3XN,189,1,0,0,190
962954,10/20 05:42 PM,F3XN,2,3,0,0,5
962953,10/20 05:41 PM,F3XN,1,0,0,0,1
962952,10/20 05:40 PM,F6N,7,0,0,0,7
962951,10/20 05:40 PM,F3XN,9,52,0,0,61
962950,10/20 05:38 PM,F3XN,0,0,0,0,0
962949,10/20 05:37 PM,F3XN,117,48,0,43,208
962948,10/20 05:36 PM,F3XN,0,0,0,0,0
962947,10/20 05:36 PM,F3XN,80,9,0,1,90
962946,10/20 05:35 PM,F6N,6,0,0,0,6
962945,10/20 05:34 PM,F3XN,5,0,0,0,5
962944,10/20 05:34 PM,F6N,8,0,0,0,8
962943,10/20 05:33 PM,F3XN,8,4,0,0,12
962942,10/20 05:33 PM,F3XN,155,3,0,0,158
962941,10/20 05:33 PM,F3XN,478,46,0,1,525
962940,10/20 05:32 PM,F6N,5,0,0,0,5
962939,10/20 05:32 PM,F3XN,0,0,0,0,0
962938,10/20 05:31 PM,F3XN,1,0,0,0,1
962937,10/20 05:31 PM,F3XN,223,94,0,99,416
962936,10/20 05:30 PM,F3XN,0,2,0,0,2
962935,10/20 05:30 PM,F6N,6,0,0,0,6
962934,10/20 05:29 PM,F3XN,238,57,0,0,295
962933,10/20 05:29 PM,F3XN,24,0,0,0,24
962932,10/20 05:29 PM,F3XN,1,5,0,0,6
962931,10/20 05:28 PM,F3XN,1162,195,0,0,1357
962930,10/20 05:28 PM,F3XN,218,19,0,0,237
